ED energy,-0.7187582536,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
model,fPEPS (D=4),fPEPS_Jastrow(D=4),fPEPS_Jastrow(D=4),PureNN,NN-SD,NN-SD,NN-SD,NN-SD,Transformer-SD,Transformer-SD,Transformer-SD,Transformer-SD,NN-fPEPS(D=4),NN-fPEPS(D=4),NN-fPEPS(D=4),NN-fPEPS(D=4)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
energy,-0.7141251322,-0.717041758,-0.7178362528,-0.5291477534,-0.7184992576,-0.718605267,-0.7186019711,-0.7186119094,-0.7169986872,-0.717488797,-0.7184398909,-0.7186861996,-0.7180076903,-0.718605559,-0.718687389,-0.7187128671
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
rel_err,0.006487828498,0.002393857212,0.001284416572,0.3583318628,0.0003604679629,0.0002128937558,0.0002174811978,0.0002036483256,0.002454071924,0.001769305074,0.0004431305442,0.000100257837,0.001045341522,0.0002124873589,0.00009860273371,0.00006314967213
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
num_params,640,6992,9904,13712,3808,7424,9232,12622,4254,7264,11764,15802,4120,6248,9136,12480